Disease,Diet,Description,,,,,
(vertigo) Paroymsal  Positional Vertigo,"Nuts, legumes, and spinach; they're rich in magnesium, which supports your hearing health.
Fruits like lemons and blueberries, which are high in vitamin C.
Water to stay well-hydrated.",(Vertigo) Paroxysmal Positional Vertigo is a type of dizziness caused by specific head movements.,,,,,
Acne,"Limit processed foods and refined carbohydrates.Choose lean protein sources Eat plenty of fruits, vegetables and whole grains and Drink plenty of water. Follow Low-Glycemic Diet,Probiotics.",Acne is a skin condition that occurs when hair follicles become clogged with oil and dead skin cells.,,,,,
AIDS,"Eat lean protein such as skinless chicken, fish, egg whites and beans. Focus on whole grain products such as  barley or quinoa.Balanced Diet, Protein-rich foods, Fruits and vegetables, Healthy fats",AIDS (Acquired Immunodeficiency Syndrome) is a disease caused by HIV that weakens the immune system.,,,,,
Alcoholic hepatitis,"Avoid alcohol completely,Diet and Nutritional support. Eat a balanced diet rich in fruits, vegetables and whole grains.  Limit processed foods, sugary drinks and unhealthy fats.",Alcoholic hepatitis is inflammation of the liver due to alcohol consumption. ,,,,,
Allergy,"Diet should include anti-inflammatory foods like fruits, vegetables and omega-3 fatty acids,Vitamin C-rich foods,  Avoid known allergens.",An allergy is an immune system reaction to a substance in the environment.,,,,,
Arthritis,"Eat a balanced diet that includes plenty of fruits, vegetables and whole grains. These foods are rich in antioxidants and nutrients that can help reduce inflammation. Choose lean protein sources:such as fish, chicken and beans. Consider adding omega-3 fatty acids to your diet. Omega-3s have anti-inflammatory properties.","Arthritis is inflammation of one or more joints, causing pain and stiffness.",,,,,
Bronchial Asthma," If you have asthma, it's important to identify and avoid your triggers. Some common asthma triggers include:Dust mites,  Smoke,Pollution.Diet recommendations are:[Anti-Inflammatory Diet, Omega-3-rich foods, Fruits and vegetables, Whole grains, Lean proteins]",Bronchial Asthma is a respiratory condition characterized by inflammation of the airways.,,,,,
Cervical spondylosis,"Vitamins A and C help reduce inflammation so one must consume lots of fresh fruits and veggies. Other nutrients important for reducing inflammation are omega-3 fatty acids and Vitamin E such as oilseeds, nuts and fish. One must avoid highly acidic foods like red meat, citrus fruits and even white potatoes.",Cervical spondylosis is a degenerative condition of the cervical spine.,,,,,
Chicken pox," Mashed potatoes,avocados,Cold foods:Yogurt,Ice cream,Grapes,Melons,peaches, tomatoes, citrus fruits and juices  better take Soft and bland food.",Chicken pox is a highly contagious viral infection causing an itchy rash.,,,,,
Chronic cholestasis," Diet should focus on reducing fat intake and promoting liver health. Include high-fiber foods and healthy fats like omega-3 fatty acids,Low-Fat Diet,High-Fiber Diet,Lean proteins.",Chronic cholestasis is a condition where bile acid  flow from the liver  to the intestine is reduced for a prolonged period.,,,,,
